num,pron,char,main_mean,tot_stk,main_elem,disused,rad_stk,rad,rad_elem,detail_mean,meaning,stk_info,rad_id,no_rad_stk,rad_mean
87,감,敢,감히,12,金,FALSE,4,攴(攵),金,감히(冒昧辭); 함부로; 굳세다; 감히 ...하다; 결단성이 있다,감히 【감】,총 12획 (부 8획),66,8,둥글월문
88,감,監,볼,14,金,FALSE,5,皿,金,보다; 살피다; 감옥; 비추어보다; 거울삼다; 거울; 감찰; 마을,볼 【감】,총 14획 (부 9획),108,9,그릇명
89,감,鑑,거울,22,金,FALSE,8,金,金,거울; 보다; 거울삼다 (鑒자와 通用),거울 【감】,총 22획 (부 14획),167,14,쇠금
90,감,鑒,거울,22,金,FALSE,8,金,金,거울 (鑑자와 同字),거울 【감】,총 22획 (부 14획),167,14,쇠금
91,감,勘,조사할,11,土,TRUE,2,力,土,헤아리다; 조사하다; 따져 묻다; 죄인을 힐문하다,조사할 【감】,총 11획 (부 9획),19,9,힘력
92,감,減,덜,13,水,TRUE,4,水,水,덜다; 수량을 적게 하다; 가볍게 하다; 줄다; 상하다; 죽이다 ↔增·加,덜 【감】,총 13획 (부 9획),85,9,물수
93,감,堪,견딜,12,土,FALSE,3,土,土,견디다; 맡다,견딜 【감】,총 12획 (부 9획),32,9,흙토
94,감,瞰,굽어볼,17,木,FALSE,5,目,木,내려다 보다; 멀리 바라보다; 굽어보다,굽어볼 【감】,총 17획 (부 12획),109,12,눈목
95,감,坎,구덩이,7,土,FALSE,3,土,土,구덩이; 험하다; 치는 소리; 64괘의 하나; 고생하다,구덩이 【감】,총 7획 (부 4획),32,4,흙토
96,감,嵌,산골짜기,12,土,FALSE,3,山,土,산골짜기; 굴; 새겨 넣다; 끼워 넣다,산골짜기 【감】,총 12획 (부 9획),46,9,뫼산
97,감,憾,한할,17,火,FALSE,4,心,火,한하다 (원통히 여기다); 섭섭하다; 원한(恨),한할 【감】,총 17획 (부 13획),61,13,마음심
98,감,戡,칠,13,金,TRUE,4,戈,金,치다; 적을 쳐 이기다; 평정하다; 죽이다,칠 【감】,총 13획 (부 9획),62,9,창과
99,감,柑,감자나무,9,木,FALSE,4,木,木,감자나무; 홍귤나무(운향과에 속하는 常綠喬木),감자나무 【감】,총 9획 (부 5획),75,5,나무목
100,감,橄,감람나무,16,木,FALSE,4,木,木,감람나무(감람과 常綠喬木),감람나무 【감】,총 16획 (부 12획),75,12,나무목
101,감,疳,감병,10,水,TRUE,5,疒,水,감병(한방에서 이르는 어린아이의 병의 한 가지. 얼굴이 누렇게 뜨고 몸이 여위며 목이 마르고 영양 장애나 만성 소화 불량 증세 따위가 나타나는 병); 음식창(남녀의 음부에 나는 창병),감병 【감】,총 10획 (부 5획),104,5,병질안역
102,감,紺,감색,11,木,FALSE,6,糸,木,감색(검은 빛을 띤 푸른 색. 청색과 자색의 간색),감색 【감】,총 11획 (부 5획),120,5,실사
103,감,邯,땅이름,12,土,FALSE,7,邑(⻏),土,땅 이름,땅이름 【감】,총 12획 (부 5획),163,5,고을읍
104,감,龕,감실,22,土,FALSE,16,龍,土,감실(神佛을 安置하는 장. 또 佛壇); 절의 탑(또 탑 아래의 방),감실 【감】,총 22획 (부 6획),212,6,용룡
105,감,玪,옥이름,9,金,FALSE,5,玉(王),金,옥 이름; 아름다운 옥; 옥돌(玉-),옥이름 【감】,총 9획 (부 4획),96,4,구슬옥
106,갑,甲,갑옷,5,木,FALSE,5,田,土,첫째 천간; 첫째(가다); 시작하다; 껍질 껍데기; 갑옷; 손톱; 등; 아무,갑옷 【갑】,총 5획 (부 0획),102,0,밭전
107,갑,鉀,갑옷,13,金,FALSE,8,金,金,갑옷(甲),갑옷 【갑】,총 13획 (부 5획),167,5,쇠금
108,갑,匣,갑,7,土,FALSE,2,匚,土,갑(작은 상자),갑 【갑】,총 7획 (부 5획),22,5,터진입구방
109,갑,岬,산허리,8,土,FALSE,3,山,土,곳; 갑(바다로 뾰족하게 내민 땅); 산허리; 산과 산 사이,산허리 【갑】,총 8획 (부 5획),46,5,뫼산
110,갑,胛,어깻죽지,11,水,FALSE,6,肉(月),水,어깻죽지; 어깨뼈; 견갑골,어깻죽지 【갑】,총 11획 (부 5획),130,5,고기육
111,갑,閘,물문,13,木,FALSE,8,門,木,물문(通舟水門); 문빗장(閉門具); 닫다,물문 【갑】,총 13획 (부 5획),169,5,문문
112,강,江,물,7,水,FALSE,4,水,水,물; 물 이름(양자강),물 【강】,총 7획 (부 3획),85,3,물수
113,강,降,내릴,14,土,FALSE,8,阜(阝),土,내리다,내릴 【강】,총 14획 (부 6획),170,6,언덕부
